"str_cfgweapons_winchester700","Winchester Model 70","Winchester Model 70","Winchester Model 70","Winchester Model 70","Winchester Model 70","Winchester Model 70","Winchester Model 70","Winchester Model 70","Winchester Model 70","M70 Tundra","Winchester Model 70","M70 ツンドラ","Winchester Model 70","Winchester Model 70",
"str_cfgweapons_ump450","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45","UMP45",
"str_cfgweapons_svd1","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Poloautomatická ostrostřelecká puška. Munice dodávána odnímatelným zásobníkem. Kompatibilní s optikami na AK. Používá munici 7,62x54 mmR.","Halbautomatisches Scharfschützengewehr mit abnehmbarem Magazin. Kompatibel mit AK-Zielvisieren. Nutzt 7,62x54mmR-Munition.","Полуавтоматическая снайперская винтовка со съемным магазином. Совместима с прицелами системы КА. Использует патроны калибра 7,62x54 мм R.","Półautomatyczny karabin precyzyjny z magazynkiem zewnętrznym. Kompatybilny z lunetami celowniczymi AK. Strzela amunicją 7,62x54 mmR.","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Fucile da tiratore scelto semi-automatico con alimentazione mediante un caricatore estraibile. Compatibile con i mirini AK. Utilizza munizioni calibro 7.62x54 mm R.","Fusil de tirador semiautomático, alimentado por un cargador desmontable. Compatible con miras AK. Usa proyectiles de 7,62x54 mmR.","Un fusil de précision semi-automatique accueillant un chargeur amovible de calibre 7,62x54 mm R. Compatible avec les lunettes pour AK.","半自動式特等射手步槍，以可拆卸的彈匣供彈。兼容 AK 瞄鏡。使用 7.62x54mmR 子彈。","取り外し可能なマガジンから装填する、セミオート式のマークスマンライフル。AK スコープと互換性がある。7.62x54mmR 弾薬を使う。","Fuzil de atirador semiautomático alimentado por um carregador destacável. Compatível com miras AK. Usa munições calibre 7.62x54mmR.","从可拆卸弹匣送弹的半自动精确射击步枪。与 AK 瞄准镜兼容。使用 7.62x54mmR 子弹。",
"str_cfgweapons_svd0","SVD","SVD","SVD","SVD","СВД","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD",
"str_cfgweapons_sks0","SKS","SKS","SKS","SKS","СКС","SKS","SKS","SKS","SKS","SKS","SKS","SKS","SKS","SKS",
"str_cfgweapons_scout1","The Scout is versatile, accurate and light-weight bolt-action rifle, used by the special police units. Uses 5.56x45mm rounds.","The Scout is versatile, accurate and light-weight bolt-action rifle, used by the special police units. Uses 5.56x45mm rounds.","Scout je všestranná, přesná a lehká opakovací puška, kterou používají speciální policejní jednotky. Používá munici 5,56x45 mm.","Das Scout-Gewehr ist ein flexibles, genaues und leichtes Repetiergewehr, das von Spezialeinheiten der Polizei genutzt wird. Verschießt 5,56x45mm-Munition.","Scout — универса`ьная, точная и легкая винтовка со скользящим затвором. Используется в спецподразделениях полиции. Патроны 5,56 x 45 мм.","Scout to wszechstronny, celny i lekki karabin samopowtarzalny, używany przez jednostki specjalne policji. Strzela amunicją 5,56x45 mm.","The Scout is versatile, accurate and light-weight bolt-action rifle, used by the special police units. Uses 5.56x45mm rounds.","Il Scout è un fucile a otturatore girevole-scorrevole leggero, versatile e preciso utilizzato dalle forze speciali. Utilizza munizioni calibro 5,56x45 mm.","El Scout es un fusil de cerrojo versátil, preciso y ligero que emplean las unidades policiales especiales. Dispara proyectiles de 5,56x45 mm.","Le Scout est un fusil à verrou léger et précis de calibre 5,56x45 mm, en dotation chez les unités spéciales des forces de police.","Scout 栓動步槍輕便、準確、適合在多種環境下使用，通常裝備特警部隊使用。使用 5.56x45mm 子彈。","Scout は多様性と精確性が高く、軽量なボルトアクション式ライフルで、特殊警察部隊に使用されている。 5.56x45mm 弾薬を使う。","O Scout é um fuzil leve, preciso e versátil com ação de ferrolho, usado por unidades de polícia especiais. Requer munições calibre 5.56x45mm.","Scout 是一把多用途、精准、轻型的栓动式步枪，主要由特种警察部队使用。该步枪使用 5.56x45 毫米子弹。",
"str_cfgweapons_scout0","Scout","Scout","Scout","Scout","Scout","Scout","Scout","Scout","Scout","Scout","Scout 步槍","Scout","Scout","Scout 步枪",
"str_cfgweapons_sawedoffmosin91300","Sawed-off Mosin-Nagant M1891/30","Sawed-off Mosin-Nagant M1891/30","Upilovaný Mosin-Nagant M1891/30","Kurzes Mosin-Nagant M1891/30","Обрез Мосин 91/30","Skrócony Mosin-Nagant M1891/30","Sawed-off Mosin-Nagant M1891/30","Mosin-Nagant M1891/30 c. mozze","Mosin-Nagant M1891/30 recortado","Mosin-Nagant M1891/30 canon scié","短管式 Mosin-Nagant M1891/30","ソードオフ・モシン 91/30","Mosin serrado 91/30","短管 Mosin-Nagant M1891/30",
"str_cfgweapons_sawedoffizh180","Sawed-off IZh-18","Sawed-off IZh-18","Upilovaná IZh-18","Kurzes IZh-18","Обрез БK-18","Skrócona IZh-18","Sawed-off IZh-18","IZh-18 c. mozze","IZh-18 recortada","IZh-18 canon scié","短管式 IZh-18","ソードオフ IZh-18","IZh-18 serrado","短管 IZh-18",
"str_cfgweapons_ruger10220","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Ruger 10/22","Sporter 22","Ruger 10/22","スポーター 22","Ruger 10/22","Ruger 10/22",
"str_cfgweapons_repeater0","Winchester Model 1892","Winchester Model 1892","Winchesterovka","Repetier-Karabiner","Карабин c магазином","Karabin powtarzalny","Winchester Model 1892","Carabina a ripetizione","Carabina de repetición","Carabine à levier","連發卡賓槍","リピーター式カービン銃","Carabina de repetição","连射卡宾枪",
"str_cfgweapons_pm73rak1","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.",
"str_cfgweapons_pm73rak0","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK","PM73 RAK",
"str_cfgweapons_mp5k0","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K","MP5K",
"str_cfgweapons_mosin91300","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30","Винтовка Мосин 91/30","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30","モシン 91/30","Mosin-Nagant M1891/30","Mosin-Nagant M1891/30",
"str_cfgweapons_m4a10","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1",
"str_cfgweapons_izh180","IZh-18","IZh-18","IZh-18","IZh-18","БK-18","IZh-18","IZh-18","IZh-18","IZh-18","IZh-18","IZh-18","IZh-18","IZh-18","IZh-18",
"str_cfgweapons_fal0","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL",
"str_cfgweapons_cz610","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion","CR-61 スコーピオン","Sa vz. 61 Skorpion","Sa vz. 61 Skorpion",
